E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
26.827,26.827,26.827,26.827,26.827,26.827,26.827,26.827,26.827,26.827
18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6
14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6
12,12,12,12,12,12,12,12,12,12
9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64
